,east,north,vertical,e_std,n_std,v_std
2008-08-04,1.3660964016017942,-0.8836749776235138,1.8223624136106196,0.721,1.0,3.3510000000000004
2008-08-05,0.32993509246614394,-1.0363473865762671,6.673333823300766,0.7240000000000001,0.998,3.386
2008-08-06,-2.495173690419506,1.1745279794723729,4.043149746741165,0.7340000000000001,1.048,3.451
2008-08-07,-0.8075218095552827,-0.7577772194788395,6.881674915181463,0.737,1.057,3.4340000000000006
2008-08-08,-0.18637619244123016,-0.934821434681453,6.587906202371755,0.747,1.072,3.499000000000001
2008-08-09,0.41042196467287795,-0.45271059613298803,0.7562838033121579,0.7170000000000001,1.03,3.364
2008-08-10,-0.772312318212812,-2.0950371813341917,-2.5003730057475195,0.7190000000000001,1.027,3.389
2008-08-11,0.5655469164015585,1.3878198434630349,1.3974713039428934,0.7150000000000001,1.031,3.338
2008-08-12,0.9698104497657596,-0.6910013904883954,7.415938344883159,0.7140000000000001,1.019,3.333
2008-08-13,-1.0404399793702623,-1.4396634344399217,0.24145173457344526,0.7170000000000001,1.043,3.3480000000000003
2008-08-14,-0.2011527835063589,-1.7844054508926774,3.629797654263882,0.7200000000000001,1.031,3.3950000000000005
2008-08-15,0.4519441323582214,2.1180354839060556,8.667938767704129,0.725,1.014,3.401
2008-08-16,0.8069155369724967,1.434491058704566,8.265055777394537,0.713,1.024,3.365
2008-08-17,-2.6500869196634085,-0.9104473177478667,9.649632269584856,0.725,1.0399999999999998,3.449
2008-08-18,-0.18657124254889368,0.04102663705066334,7.141167595525133,0.721,1.024,3.347
2008-08-19,-1.48483751668482,-1.270741214400914,1.1670764852156026,0.723,1.033,3.423
2008-08-20,-0.41025754582062746,-1.8407473033532824,5.872259324905826,0.713,1.02,3.354
2008-08-21,-0.8366597474567925,-0.657168808554843,-0.3960578479037622,0.726,1.045,3.443
2008-08-22,-3.8190785453424496,0.30628161874358284,-4.7513338882134235,0.728,1.041,3.44
2008-08-23,-2.95965068822818,-1.7603325302078474,-2.4891030935231697,0.7240000000000001,1.033,3.403
2008-08-24,-1.7109434561136823,-0.5269238329101427,4.459415372417254,0.731,1.034,3.439
2008-08-25,0.3274532122502478,0.3824407718884686,12.223736388357565,0.759,1.073,3.63
2008-08-26,0.25306352936422627,-0.2851795183133845,5.173120334297948,0.721,1.024,3.364
2008-08-27,-0.988753476021202,0.2230504139840832,6.265695911488251,0.7340000000000001,1.043,3.4520000000000004
2008-08-28,-1.090065701407525,-1.5345518374670064,6.191308066178522,0.75,1.081,3.495
2008-08-29,-1.4616693155431904,-1.165346202668843,4.58648974586896,0.7440000000000001,1.043,3.502
2008-08-30,-0.7301613571862617,-2.0376365603711974,10.260889703059263,0.732,1.0490000000000002,3.4530000000000003
2008-08-31,1.116648296178255,-0.17142939057271178,-1.6535946085003843,0.7240000000000001,1.0279999999999998,3.377
2008-09-01,-0.9026093379576423,-0.6132829345242499,6.085109886190082,0.732,1.0219999999999998,3.4330000000000003
2008-09-02,0.7091375779067448,-0.8380114222270549,2.324259639630384,0.7150000000000001,1.026,3.358
2008-09-03,-1.276751446229241,-0.029880462428423016,1.430725545570624,0.721,1.037,3.3800000000000003
2008-09-04,0.7395481596346372,-0.5944335338797373,-0.29481964098897606,0.768,1.08,3.636
2008-09-05,-0.25165276575114603,-1.3774133765821261,2.4929497699513377,0.727,1.026,3.386
2008-09-06,-0.33056404238629966,0.8058611107160232,7.800116932141805,0.723,1.03,3.4200000000000004
2008-09-07,1.2862225872272575,-0.20878464323538992,1.7094956955820635,0.7150000000000001,1.016,3.347
2008-09-08,-0.06681295940825294,-1.2649630271878323,10.034367594022342,0.7290000000000001,1.037,3.443
2008-09-09,-1.2711004785440991,-1.6897114573889667,11.155408629962494,0.727,1.053,3.4729999999999994
2008-09-10,0.7231320998203046,-1.4250736750908573,0.852629022153053,0.728,1.03,3.407
2008-09-11,-0.31086269556578827,0.11906218595686369,10.641585575593353,0.731,1.03,3.459
2008-09-12,-0.2633548159514021,0.15513246450518636,9.23501813153382,0.7290000000000001,1.03,3.408
2008-09-13,0.7413789211627773,0.5088112793040409,9.288457911224043,0.726,1.018,3.4170000000000003
2008-09-14,0.4964944207769122,-0.35053586339859066,10.191756214664451,0.7160000000000001,1.018,3.3480000000000003
2008-09-15,2.196281344141198,-0.8916394636001996,7.717560605604717,0.7070000000000001,1.011,3.302
2008-09-16,-1.247202096244905,-1.4332981800515654,8.861545080295002,0.7340000000000001,1.03,3.435
2008-09-17,3.5539102671192495,-0.4529485965040294,5.62257630623543,0.752,1.0610000000000002,3.494
2008-09-18,0.6782127329838659,0.46656515079462224,11.038353888425888,0.7120000000000001,0.9990000000000001,3.33
2008-09-19,1.4401379138479342,-0.9607161831572739,7.086860410615998,0.7480000000000001,1.05,3.5460000000000003
2008-09-20,1.7655216297122251,1.091724274140688,7.758596950306412,0.705,1.019,3.3
2008-09-21,0.15601577682639345,-0.2927212173110547,9.766919306246734,0.718,1.026,3.363
2008-09-22,0.06883667894055634,4.126379347487159,8.117707697187143,0.7190000000000001,1.0490000000000002,3.4020000000000006
2008-09-23,0.38265456855458524,1.3888129535349663,7.879179236877576,0.721,1.024,3.392
2008-09-24,-0.8893862905813421,1.4970785658334762,7.537081570317696,0.7170000000000001,1.014,3.4090000000000003
2008-09-25,-0.37978098721669085,0.12733608813198316,10.977621428758141,0.7290000000000001,1.035,3.414
2008-09-26,0.3556399423973744,1.7095235591792743,0.3403183384484123,0.7160000000000001,1.0279999999999998,3.345
2008-09-27,-0.6471669392381045,-0.9826029147719737,9.23692380938894,0.7110000000000001,1.018,3.366
2008-09-28,-2.025377754624401,-0.437875157473286,9.551871300329083,0.7070000000000001,1.018,3.35
2008-09-29,0.9087068737401296,1.7558744423249664,10.42854744626942,0.708,1.002,3.3240000000000003
2008-09-30,-3.6803550466457864,-0.03120578662742446,2.151048695959787,0.7160000000000001,1.031,3.361
2008-10-01,-0.902054805781404,-0.21179053432865658,7.194401041900107,0.7150000000000001,1.013,3.3680000000000003
2008-10-02,1.3460407650828756,-1.1518057220306446,12.109881584090488,0.728,1.033,3.4520000000000004
2008-10-03,-1.0275659065530363,-0.09856058348270835,5.124661252530814,0.7120000000000001,1.011,3.3420000000000005
2008-10-04,-1.3304241469392082,0.1968344688156094,8.736956123471145,0.723,1.043,3.41
2008-10-05,-0.7050461823246224,2.070620599863787,5.902791913161479,0.7090000000000001,1.012,3.318
2008-10-06,0.11947919353940506,0.9450177271619395,6.582335830351781,0.708,1.013,3.314
2008-10-07,-1.1218401230966037,0.4196160107102287,10.164293430042221,0.7200000000000001,1.042,3.405
2008-10-08,-1.1625383109821996,0.8373937267585916,2.9064350534824825,0.728,1.048,3.4170000000000003
2008-10-09,0.1332974398821989,2.685658820306344,3.079403211922852,0.7010000000000001,0.991,3.249
2008-10-10,2.0420294532461867,,-3.945818205886667,0.713,,3.3080000000000003
2008-10-11,0.2170504078603699,3.4025061399033802,-4.108628006196454,0.7040000000000001,1.011,3.285
2008-10-12,1.4307954062246608,2.737452078450815,-4.513163601506051,0.7070000000000001,1.0,3.292
2008-10-13,0.6390105308388456,-0.9238548492509153,-1.8509421505657997,0.706,0.987,3.29
2008-10-14,-0.14343315204712326,0.1261827105474822,4.207545312874458,0.7020000000000001,0.995,3.281
2008-10-15,-0.2832183311827521,-0.09179716840458241,0.17913291506494033,0.7200000000000001,1.023,3.3710000000000004
2008-10-16,-0.16082843031870198,1.2971756063940347,3.8395426022551646,0.7190000000000001,1.038,3.339
2008-10-17,0.39297756929556726,1.1784531674423988,-3.957444221804394,0.7030000000000001,1.012,3.287
2008-10-18,-1.5183482985900127,1.1975169909898113,-2.5780198208639717,0.6980000000000001,1.0,3.269
2008-10-19,-1.3520395877258125,2.348443998288303,1.1559350625761908,0.7120000000000001,0.991,3.305
2008-10-20,-1.524008904361608,0.22799657433677112,8.04586247726661,0.713,0.99,3.3159999999999994
2008-10-21,-0.982541534747611,0.12242058163428737,6.124106231956887,0.706,0.992,3.292
2008-10-22,-1.832546582633654,-0.08722417356739243,2.4753157928973906,0.7010000000000001,1.0,3.2700000000000005
2008-10-23,0.946684475730649,-0.3597401550189261,3.9383660563375997,0.7020000000000001,0.996,3.2880000000000003
2008-10-24,-0.6852231121548584,-0.36489393272120196,2.1687019672778547,0.708,0.996,3.312
2008-10-25,-0.49868975129049886,1.8111486733270112,0.02353142696830446,0.7040000000000001,0.998,3.289
2008-10-26,-2.3069441304265865,1.2983353318759328,-3.348657842091427,0.706,0.997,3.2700000000000005
2008-10-27,1.1521024054376312,-1.1906082408265775,-0.17777361615100062,0.7040000000000001,1.013,3.274
2008-10-28,0.15441094880179662,0.4963217752218725,-5.423331655210745,0.73,1.043,3.4650000000000003
2008-10-29,-0.5985462953340175,-3.054680941229776,4.258525089479576,0.713,1.016,3.294
2008-10-30,-0.31480346321995967,-0.9481288014320626,1.2490646041701439,0.7110000000000001,0.993,3.332
2008-10-31,-0.5855284348555188,-1.5975763578836677,4.2857386288602015,0.7340000000000001,1.029,3.4520000000000004
2008-11-01,-4.587182848991347,-1.2410518393353414,6.016300004800655,0.7390000000000001,1.042,3.4920000000000004
2008-11-02,-2.683042024377187,-0.7670018282875617,8.34182146324099,0.7240000000000001,1.038,3.4410000000000003
2008-11-03,-3.115704146012604,-0.1574835284893652,4.784463704181235,0.7240000000000001,1.03,3.412
2008-11-04,-1.881585915148662,-0.13838845244094955,-4.98735563362834,0.728,1.019,3.404
2008-11-05,-2.6265863480348344,-0.26056832764231785,0.6611963285619709,0.7120000000000001,1.005,3.33
2008-11-06,-0.31377754842037575,1.2687942196557742,1.8141441570023744,0.705,1.008,3.303
2008-11-07,-0.27766809755644317,1.5061277319538249,6.1213111791926735,0.7150000000000001,1.005,3.338
2008-11-08,1.5588359445581546,-0.16166967699757606,2.8512763113830033,0.726,1.023,3.414
2008-11-09,-2.5105535895777393,-0.2651525871999638,7.531842731073368,0.728,1.018,3.412
2008-11-10,-0.840937536213687,1.577302017598754,1.0807148807636509,0.723,1.009,3.4200000000000004
2008-11-11,0.8191093571506372,0.19965865864696752,-2.18759436454593,0.7200000000000001,1.009,3.341
2008-11-12,1.2938068355147152,3.100054694694336,6.513821911394359,0.7200000000000001,1.001,3.377
2008-11-13,-0.22667343737066403,3.555682913243004,7.63055442233474,0.728,1.013,3.442
2008-11-14,-1.8213919727566008,0.9594349567913696,-7.319155144224794,0.738,1.038,3.426
2008-11-15,-1.4811471268926653,0.7971623078393577,3.2563631917153657,0.718,1.013,3.341
2008-11-16,-2.178165318528386,1.6393449951375487,0.8565052214057687,0.722,0.997,3.3590000000000004
2008-11-17,-0.5853748276641682,1.4437677236860509,1.322079671096219,0.725,1.026,3.353
2008-11-18,-0.07732404554997174,2.203519213483787,2.065100549536453,0.7190000000000001,1.019,3.341
2008-11-19,0.7425434240643654,0.3594471557820498,4.115116237976736,0.713,0.997,3.298
2008-11-20,-1.5320442875713525,2.254961401830542,9.602087268917103,0.741,1.026,3.454
2008-11-21,1.37670435579264,1.0167592066280804,2.1871198186074707,0.7340000000000001,1.011,3.389
2008-11-22,0.11154446665716478,1.438648423926793,4.952155349547752,0.7150000000000001,1.003,3.3360000000000003
2008-11-23,1.2451674312711702,-0.3249188037749491,1.9741794854881505,0.721,1.034,3.3760000000000003
2008-11-24,-0.4365063103647344,-0.14409126647717585,5.310742551428575,0.723,1.027,3.39
2008-11-25,-0.4147607107506701,1.1352149395711422,2.7883782098687675,0.725,1.013,3.362
2008-11-26,-1.0494809561363354,0.5019870581193118,-2.3038511654408467,0.718,1.009,3.312
2008-11-27,-0.1373965990223951,2.4954006604172037,-0.4472468270005834,0.713,1.008,3.322
2008-11-28,-2.4414966094079773,1.0398268227153267,3.3307485964398325,0.7140000000000001,0.9940000000000001,3.2910000000000004
2008-11-29,-2.307227803543924,0.9691873837641651,5.28567500113013,0.736,1.039,3.419
2008-11-30,-1.539582433929695,1.6085270635618372,4.61994292457041,0.7110000000000001,1.0070000000000001,3.279
2008-12-01,-2.0119470005653284,2.071195370860096,3.672057176760859,0.7090000000000001,1.006,3.278
2008-12-02,-1.3051448922013833,0.8643491056586754,3.6713713814513085,0.7240000000000001,1.001,3.3440000000000003
2008-12-03,1.8846474649130869,4.290537289206213,6.364306749891568,0.7170000000000001,1.023,3.302
2008-12-04,1.2695496157774642,2.512345890254551,3.45523616083193,0.721,1.013,3.314
2008-12-05,0.03212134539182898,2.068223012553176,1.5431951905221126,0.7090000000000001,0.993,3.279
2008-12-06,-0.4153805799943484,3.173049032350491,1.788928493962601,0.7170000000000001,1.004,3.287
2008-12-07,0.06113066086993513,2.249287005899305,0.5609239699028308,0.713,1.002,3.3040000000000003
2008-12-08,-0.2716804257655667,4.476303989447729,2.9772219533432462,0.721,0.9940000000000001,3.3510000000000004
2008-12-09,-1.2759754736518971,2.598293631746401,2.7804915217835173,0.7160000000000001,1.008,3.2950000000000004
2008-12-10,-0.8226401165375137,2.2273561777934674,-1.5041688535261528,0.706,0.996,3.279
2008-12-11,-1.1273303569230393,2.9398662125922783,3.6955779724142417,0.723,1.035,3.378
2008-12-12,-2.0859377898087814,3.3986221198907742,4.8440706271046565,0.721,1.038,3.372
2008-12-13,-2.5576814239447003,5.586243155938519,4.184645923045025,0.7290000000000001,1.019,3.405
2008-12-14,-0.9315820718306895,3.031915843236675,3.6254654902352286,0.705,0.997,3.2710000000000004
2008-12-15,-0.7684501184663759,2.5567756942853066,-4.474616496324359,0.7140000000000001,0.998,3.334
2008-12-16,-1.1539080701026023,0.7995477003325959,1.9348345896159458,0.7070000000000001,1.004,3.29
2008-12-17,0.3819474707615882,2.5859122001310197,5.546711331806193,0.705,1.017,3.285
2008-12-18,-0.43339940337386906,3.2296153749298355,8.533079738996605,0.7040000000000001,1.014,3.262
2008-12-19,-2.3257429700095145,3.1448507634773932,9.07384798743692,0.721,1.048,3.4410000000000003
2008-12-20,-0.8999156853955128,3.2311237420258294,3.6750837783773704,0.7090000000000001,0.993,3.2770000000000006
2008-12-21,-0.8568902620314702,3.0465149255740016,9.585325838067718,0.721,1.0219999999999998,3.4020000000000006
2008-12-22,-1.8904495686668952,1.7091834503719383,6.388757649007914,0.7090000000000001,1.01,3.338
2008-12-23,-0.16020994030270685,0.9449805239205489,5.4061944724483055,0.696,0.992,3.25
2008-12-24,0.33723069056134136,0.6300395287188394,2.6911545233886045,0.7200000000000001,1.011,3.3520000000000003
2008-12-25,-0.07832796607431192,2.5143265597664595,5.096528003078902,0.7190000000000001,1.021,3.4020000000000006
2008-12-26,0.46849867853984506,2.9137337633148945,2.396766460269305,0.718,1.014,3.365
2008-12-27,0.8764376144040398,2.728773591863387,1.0509620124595926,0.7110000000000001,1.008,3.349
2008-12-28,0.3057170040179926,2.860209224161167,7.018957959650038,0.7190000000000001,1.017,3.404
2008-12-29,0.7210729586323623,1.0850304089595966,4.94721658184028,0.7240000000000001,1.017,3.4290000000000003
2008-12-30,0.2587854907468454,1.9038304662580003,2.8264626540305926,0.7160000000000001,1.013,3.378
2008-12-31,0.45764470911069566,-0.4099821064446587,0.2730785174711059,0.735,1.034,3.4450000000000003
2009-01-01,0.5464608674749343,0.2607990121040302,1.944644997161447,0.7140000000000001,1.012,3.365
2009-01-02,0.40946120208911907,0.48852644690236957,0.36144103935180283,0.727,1.021,3.438
2009-01-03,-1.124199505796696,0.49336886295020577,0.8995750602920225,0.7200000000000001,1.013,3.358
2009-01-04,-0.3400624086825701,1.192238347748571,4.408686157482293,0.713,1.014,3.3360000000000003
2009-01-05,-1.8660664928182769,0.8089533475470034,7.32602015592272,0.722,1.014,3.39
2009-01-06,-0.32963223320416546,2.6826217435944955,9.672944370613095,0.7150000000000001,1.004,3.345
2009-01-07,0.17816912391015194,1.295707778393421,2.972230489053402,0.7030000000000001,0.992,3.2990000000000004
2009-01-08,-0.2125320627256997,1.9156638356913618,7.533603773743721,0.755,1.048,3.629
2009-01-09,0.8350575831386777,2.9672820142390037,3.6509729784340834,0.7390000000000001,1.013,3.4090000000000003
2009-01-10,0.1988489015026289,2.4760767302875593,-1.5385375656256315,0.723,1.012,3.354
2009-01-11,-0.4008772088830028,3.1642503013360965,1.3646159403147067,0.713,1.0,3.334
2009-01-12,3.9066916644809453,,-6.131777691244906,0.71,,3.33
2009-01-13,-0.520452502154626,1.1297781646819658,3.172034857195399,0.718,1.01,3.326
2009-01-14,1.7636277449594218,2.1954577307309364,1.3892255118857975,0.7030000000000001,0.992,3.265
2009-01-15,-0.46772033417596504,0.023133333028908964,4.0790629565762515,0.7120000000000001,1.009,3.302
2009-01-16,0.07231209168799069,1.984484764076683,1.8691078750163683,0.718,1.001,3.337
2009-01-17,-0.6623628261978638,0.8065268713751266,3.688701390956794,0.7,0.9840000000000001,3.2310000000000003
2009-01-18,0.6508169084163455,1.7912561624236787,0.37248680689708635,0.7110000000000001,0.9940000000000001,3.29
2009-01-19,3.0220966667804987,1.6918122559713993,5.297476089087468,0.7140000000000001,0.98,3.315
2009-01-20,1.6895698763948985,2.114471547019889,5.6025790075277655,0.7120000000000001,0.9790000000000001,3.266
2009-01-21,2.616538908509142,1.674116868068154,6.079951009718059,0.746,1.023,3.4340000000000006
2009-01-22,1.2850832318735002,2.2096478916154183,5.387810639408485,0.7140000000000001,0.995,3.3350000000000004
2009-01-23,2.890782727737246,1.7844455451642034,8.773976790348797,0.7120000000000001,0.995,3.292
2009-01-24,3.305466573601848,0.13421772621290984,6.050058205039193,0.708,0.996,3.278
2009-01-25,1.8609341069657148,0.7969348622601728,2.8132335422294545,0.7170000000000001,1.009,3.321
2009-01-26,1.9147397090799814,-1.3564693654409439,2.700114724419848,0.7150000000000001,1.009,3.3
2009-01-27,2.4098976699441437,0.9084694268574367,1.6534702491101712,0.7140000000000001,1.01,3.309
2009-01-28,2.0560084395583544,-0.44045891709504303,-2.846866823699372,0.7200000000000001,1.006,3.3600000000000003
2009-01-29,2.619738187922394,1.818717253953423,-1.8875610727590697,0.7170000000000001,0.9790000000000001,3.3040000000000003
